SEMANA,FECHA,TURNO,EXTRUSORA,OPERADOR,N° DE PEDIDO,NOMBRE DE PEDIDO,CLAVE SAP,TIPO DE PRODUCTO,MEDIDA DE LA BOLSA,TRATADO,ANCHO DE PELICULA,N° DE ROLLO,CALIBRE PEDIDO,CALIBRE REAL,MOTIVO DEL CORTE,HORA INICIO,HORA FINAL,KILOS/HORA,PRODUCTO CONFORME,% DE PRODUCTO CONFORME,RECUP.,% DE RECUP,BASURA,% DE BASURA,CONSUMO MP,% MATERIA PRIMA,REC.AREA ROLLO,REC.AREA SELLADO,RECUPERADO DEVOLUCION ROLLO,HORAS DE TRABAJO,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,5,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,0,28.00,0,ARRANQUE,10:00 AM,11:03 AM,0.00,0,0.00%,16.7,97.66%,0.4,#DIV/0!,17.1,#DIV/0!,,,,1.05,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,10,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,0,28.00,0,ARRANQUE,10:00 AM,10:20 AM,0.00,0,0.00%,15,98.68%,0.2,#DIV/0!,15.2,#DIV/0!,,,,0.33,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,10,EDGAR,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,1,28.00,28.4,CORTE NORMAL,10:20 AM,12:25 PM,27.36,57,100.00%,0,0.00%,0,0.00%,57,100.00%,,,,2.08,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,10,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,2,28.00,28.7,BAJADA DE GLOBO,12:25 PM,01:40 PM,17.60,22,92.83%,1.7,7.17%,0,0.00%,23.7,100.00%,,,,1.25,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,11,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,0,27.00,0,ARRANQUE,10:11 AM,11:00 AM,0.00,0,0.00%,18,98.36%,0.3,#DIV/0!,18.3,#DIV/0!,,,,0.82,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,11,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,1,27.00,30.5,BAJADA DE GLOBO,11:00 AM,11:28 AM,21.43,10,90.91%,1,9.09%,0,0.00%,11,100.00%,,,,0.47,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,11,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,2,27.00,29.4,BAJADA DE GLOBO,11:28 AM,12:00 PM,15.00,8,88.89%,1,11.11%,0,0.00%,9,100.00%,,,,0.53,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,11,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,3,27.00,28.6,BAJADA DE GLOBO,12:00 PM,12:28 PM,21.43,10,90.91%,1,9.09%,0,0.00%,11,100.00%,,,,0.47,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,13,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,20X30,N/A,30.0 CM,0,28.00,0,ARRANQUE,11:00 AM,01:55 PM,0.00,0,0.00%,8,96.39%,0.3,#DIV/0!,8.3,#DIV/0!,,,,2.92,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,5,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,4,28.00,32,LIMPIEZA DE BOQUILLA,11:03 AM,03:15 PM,25.95,109,93.16%,8,6.84%,0,0.00%,117,100.00%,,,,4.20,,,,,,,,,,,,,,,,,,
